,bamid,approach_vertical,vertical_jump,3/4_court_sprint,4-way_agility,reaction_shuttle,bamscore,wingspan,reach,height,weight,body_comp,hand_length,hand_width
292,1469.0,25.5,16.5,3.475,12.296,3.521,1722.0,75.5,95.5,70.0,191.0,22.1,8.0,8.5
293,1255.0,32.0,25.5,3.723,12.615,3.5052431640624997,1840.0,80.0,99.5,78.5,174.4,17.0,8.0,9.0
294,633.0,29.5,25.0,3.568,13.451,3.302,1802.0,85.5,108.0,81.5,192.0,17.6,9.0,10.25
295,1171.0,26.5,21.0,3.513,12.641,3.303,1794.0,73.0,94.0,70.0,171.0,17.4,8.25,8.75
296,351.0,35.5,26.0,3.304,12.078,3.38,1982.0,79.0,102.5,77.75,182.0,12.9,8.0,8.5
297,696.0,29.5,23.0,3.523,12.958,3.69,1759.0,77.25,98.0,72.5,184.2,12.7,8.25,8.0
298,1039.0,34.0,27.0,3.382,13.785,3.89,1746.0,83.0,105.0,80.0,224.0,14.1,8.75,8.75
299,1442.0,40.0,31.5,3.143,10.999,3.288,2155.0,79.0,98.5,74.0,166.1,12.7,7.5,8.25
300,988.0,26.0,19.0,3.657,12.513,3.689,1681.0,75.0,96.5,74.5,183.0,21.0,8.0,8.5
301,1427.0,31.0,24.0,3.453,12.634,3.754,1792.0,70.5,89.5,67.5,135.0,13.4,7.5,8.75
302,1484.0,29.0,23.0,3.643,12.575,3.224,1836.0,77.0,98.5,74.0,203.0,20.3,8.25,9.0
303,1516.0,25.0,20.5,3.388,11.66,3.653,1801.0,76.0,95.0,72.0,176.4,22.9,7.5,8.5
304,551.0,28.5,25.5,3.551,11.372,3.461,1906.0,76.0,96.0,73.0,144.2,14.3,7.5,8.75
305,1038.0,32.5,25.5,3.456,12.517,3.74,1830.0,77.5,96.5,73.0,231.4,20.0,7.5,8.5
306,904.0,35.0,27.5,3.279,11.013,3.11,2107.0,76.5,97.0,74.0,172.0,16.1,8.0,8.5
307,232.0,35.5,29.0,3.4,11.952,3.086,2041.0,77.0,97.0,73.0,170.0,10.2,8.25,8.75
308,658.0,29.5,23.0,3.424,12.373,3.61,1833.0,75.75,96.0,72.0,225.4,19.0,8.0,9.0
309,501.0,36.0,29.5,3.303,11.862,4.175,1852.0,72.0,93.0,70.5,167.0,13.5,7.5,8.5
310,937.0,34.0,25.5,3.274,11.743,3.201,2023.0,72.5,92.0,69.5,132.2,12.6,7.5,7.75
311,734.0,29.0,23.5,3.388,12.2679999999999,3.433,1879.0,76.75,101.5,77.5,201.4,8.6,8.25,9.5
312,1143.0,31.829614604462474,25.860157016683022,3.479,11.564,3.19,1932.0,78.08979743083005,98.71417984189723,75.09419466403162,180.7358201581028,14.97949604743083,8.049381188118812,8.876189296333004
313,713.0,31.0,24.0,3.453,13.036,3.28,1866.0,74.0,93.0,70.75,161.8,18.3,8.0,8.25
314,506.0,35.0,27.0,3.388,11.924,3.55899999999999,1951.0,76.5,97.5,73.5,166.0,13.7,8.0,9.0
315,1482.0,35.0,26.5,3.153,12.354,3.464,1984.0,81.0,98.0,74.25,175.5,12.8,8.5,9.0
316,1214.0,34.0,26.5,3.388,11.807,3.447,1968.0,77.0,98.5,74.5,182.0,7.7,8.0,9.25
317,1339.0,31.0,25.0,3.47,12.928,3.422,1848.0,80.0,103.0,77.0,215.0,27.0,8.5,10.25
318,1148.0,26.5,21.5,3.406,11.839,3.531,1831.0,76.0,96.5,73.5,171.7,17.3,7.5,8.25
319,827.0,31.829614604462474,25.860157016683022,3.278,11.777,3.617,1845.0,76.0,94.0,70.0,187.9,22.6,7.5,8.25
